Series_Title,Runtime_of_Series,Certificate,Genre,IMDB_Rating,Overview,Star1,Star2,Star3,Star4
Columbo,(1971–2003),,"Crime, Drama, Mystery",8.2,Los Angeles homicide detective Lieutenant Columbo uses his humble ways and ingenuous demeanor to winkle out even the most well-concealed of crimes.,Peter Falk,Mike Lally,John Finnegan,Bruce Kirby
Helix,(2014–2015),,"Drama, Horror, Mystery",6.8,A team of scientists are thrust into a potentially life-or-death situation when they arrive in the Arctic to secretly investigate what could be an outbreak of a strange disease in a secluded international research facility.,Billy Campbell,Kyra Zagorsky,Mark Ghanimé,Jordan Hayes
Dirilis: Ertugrul,(2014–2019),16,"Action, Adventure, Drama",7.9,"The heroic story of Ertugrul Ghazi, the father of Osman (Uthman) who founded the Ottoman Empire.",Engin Altan Düzyatan,Hülya Darcan,Cengiz Coskun,Nurettin Sönmez
Pinky and the Brain,(1995–1998),,"Animation, Comedy, Family",7.9,A genius mouse and his stupid sidekick try to conquer the world each night.,Maurice LaMarche,Rob Paulsen,Tress MacNeille,Frank Welker
Skam,(2015–2017),,"Drama, Romance",8.6,"The story of young teenagers and pupils on Hartvig Nissens upper secondary school in Oslo, and their troubles, scandals and everyday life. Each season is told from a different person's point of view.",Josefine Frida Pettersen,Iman Meskini,Ulrikke Falch,Lisa Teige
Dracula,(2013–2014),,"Drama, Horror, Romance",7.4,"Dracula travels to London, with dark plans for revenge against those who ruined his life centuries earlier. However, his plan is complicated when he falls in love with a woman who seems to be a reincarnation of his dead wife.",Jonathan Rhys Meyers,Jessica De Gouw,Thomas Kretschmann,Victoria Smurfit
Babylon 5,(1993–1998),,"Action, Adventure, Drama",8.3,"In the mid 23rd century, the Earth Alliance space station Babylon 5, located in neutral territory, is a major focal point for political intrigue, racial tensions and various wars over the course of five years.",Mira Furlan,Richard Biggs,Stephen Furst,Andreas Katsulas
Kyle XY,(2006–2009),,"Drama, Mystery, Romance",7.5,"A family takes in a formerly institutionalized teen savant who is missing standard human behaviors such as anger, joy, and love.",Matt Dallas,Marguerite MacIntyre,Bruce Thomas,April Matson
Kota Factory,-2019,16,"Comedy, Drama",9,"Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives.",Mayur More,Jitendra Kumar,Ranjan Raj,Revathi Pillai
Damages,(2007–2012),18,"Crime, Drama, Mystery",8.1,A law school graduate becomes the protégée of a successful high-stakes litigator.,Glenn Close,Rose Byrne,Tate Donovan,Zachary Booth
Snowpiercer,(2020– ),18,"Action, Drama, Sci-Fi",6.8,"Seven years after the world has become a frozen wasteland, the remnants of humanity inhabit a perpetually-moving train that circles the globe, where class warfare, social injustice and the politics of survival play out.",Daveed Diggs,Mickey Sumner,Alison Wright,Jennifer Connelly
Party Down,(2009–2010),,"Comedy, Drama",8.2,"A group of actors move to Los Angeles to make it big, but end up working as caterers.",Adam Scott,Ken Marino,Ryan Hansen,Martin Starr
Beavis and Butt-Head,(1993–2011),,"Animation, Comedy, Music",7.5,"Animated MTV series about two teenage heavy-metal music fans who occasionally do idiotic things because they're bored. For them, everything is ""cool"" or ""sucks.""",Mike Judge,Dale Revo,Kristofor Brown,Tracy Grandstaff
Alphas,(2011–2012),,"Action, Drama, Sci-Fi",7.2,Alphas is a science fiction drama focusing on a team that investigates people with supernatural abilities.,David Strathairn,Ryan Cartwright,Warren Christie,Azita Ghanizada
Hercules: The Legendary Journeys,(1995–1999),,"Action, Adventure, Drama",6.5,"Hercules, aided by his best friend Iolaus, goes on many adventures helping people and slaying mythical monsters using his half-god strength.",Kevin Sorbo,Michael Hurst,Kevin Smith,Robert Trebor
Behzat Ç.: Bir Ankara Polisiyesi,(2010–2019),,"Crime, Drama, Mystery",8.8,"Centered around a personally troubled, officially discredited police chief and his inharmonious police team in Ankara Police Force. Even though the show usually focuses on murders and other...                See full summary »",Erdal Besikçioglu,Inanç Konukçu,Ege Aydan,Berkan Sal
Ezel,(2009–2011),,"Crime, Drama, Thriller",8.6,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance.",Kenan Imirzalioglu,Cansu Dere,Yigit Özsener,Baris Falay
Roswell,(1999–2002),,"Drama, Mystery, Sci-Fi",7.5,The lives of three young alien/human hybrids with extraordinary gifts in Roswell.,Shiri Appleby,Jason Behr,Katherine Heigl,Majandra Delfino
American Vandal,(2017–2018),18,"Comedy, Crime, Drama",8.2,A true-crime satire that explores the aftermath of a costly high school prank that left twenty-seven faculty cars vandalized with phallic images.,Tyler Alvarez,Griffin Gluck,Jimmy Tatro,Travis Tope
Spider-Man,(1994–1998),PG,"Animation, Action, Adventure",8.4,A young man with spider-like abilities fights crime as a superhero in New York City while trying to have a normal personal life.,Christopher Daniel Barnes,Sara Ballantine,Edward Asner,Roscoe Lee Browne
Broad City,(2014–2019),,Comedy,8.4,"Broad City follows two women throughout their daily lives in New York City, making the smallest and mundane events hysterical and disturbing to watch all at the same time.",Ilana Glazer,Abbi Jacobson,Hannibal Buress,Arturo Castro
Covert Affairs,(2010–2014),13,"Action, Crime, Drama",7.3,"Fresh out of the farm, Annie Walker must adapt to the challenging life of a CIA operative under the guidance of her handler, Auggie. But soon she realizes her recruit might have to do with her last boyfriend rather than her talent.",Piper Perabo,Christopher Gorham,Kari Matchett,Peter Gallagher
The Boondocks,(2005–2014),,"Animation, Action, Comedy",8.4,"Adventures of two boys, Riley and Huey Freeman, who undergo a culture clash when they move from Chicago to the suburbs to live with their grandfather.",Regina King,John Witherspoon,Gary Anthony Williams,Cedric Yarbrough
Keeping Up with the Kardashians,(2006– ),16,"Drama, Family, Reality-TV",2.8,"A peek inside the exploits and privileged private lives of the blended Kardashian-Jenner family, including sisters Kim, Kourtney, Khloé, Kendall and Kylie.",Khloé Kardashian,Kim Kardashian West,Kourtney Kardashian,Kris Jenner
Lilyhammer,(2012–2014),,"Comedy, Crime, Drama",8,A New York mobster goes into hiding in rural Lillehammer in Norway after testifying against his former associates.,Steven Van Zandt,Trond Fausa,Steinar Sagen,Marian Saastad Ottesen
Panchayat,(2020– ),16,"Comedy, Drama",8.7,"A comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a Panchayat office in a remote village of Uttar Pradesh.",Jitendra Kumar,Raghuvir Yadav,Chandan Roy,Faisal Malik
Spin City,(1996–2002),,Comedy,7.3,"Mike Flaherty, the Deputy Mayor of New York City, and his team of half-wits must constantly save the Mayor from embarrassment and the media. Mike is later succeeded by Charlie Crawford.",Michael J. Fox,Charlie Sheen,Heather Locklear,Richard Kind
Teen Titans,(2003–2006),,"Animation, Action, Adventure",7.8,A team of five teenaged superheroes save the world from many villains around their city while experiencing things normal teens face today.,Hynden Walch,Greg Cipes,Scott Menville,Khary Payton
Asur: Welcome to Your Dark Side,(2020– ),18,"Crime, Drama, Mystery",8.4,"A unique crime thriller that pits two opposing worlds against each other. The less explored, intricate world of forensic science and the deep mysticism of ancient Indian Mythology.",Arshad Warsi,Barun Sobti,Riddhi Dogra,Anupriya Goenka
Quantum Leap,(1989–1993),,"Action, Adventure, Drama",8.1,"During a government experiment into time travel, a scientist finds himself trapped in the past, ""leaping"" into the bodies of different people on a regular basis and sorting out their problems whilst trying to get back home to his own time.",Scott Bakula,Dean Stockwell,Deborah Pratt,Dennis Wolfberg
Pod prikritie,(2011–2016),,"Action, Crime, Drama",8.9,Trained young policeman goes undercover in the gang of the most dangerous mafia boss in Bulgaria.,Ivaylo Zahariev,Zachary Baharov,Vladimir Penev,Marian Valev
Hanna,(2019– ),16,"Action, Drama",7.5,"In equal parts high-concept thriller and coming-of-age drama, HANNA follows the journey of an extraordinary young girl raised in the forest, as she evades the relentless pursuit of an off-book CIA agent and tries to unearth the truth behind who she is.",Esme Creed-Miles,Mireille Enos,Joel Kinnaman,Yasmin Monet Prince
Poldark,(2015–2019),18,"Drama, History, Romance",8.3,"Ross Poldark returns home after American Revolutionary War and rebuilds his life with a new business venture, making new enemies and finding a new love where he least expects it.",Aidan Turner,Eleanor Tomlinson,Jack Farthing,Beatie Edney
Las Vegas,(2003–2008),,"Crime, Drama",7.4,"Welcome to the Montecito Resort and Casino in Las Vegas, where you can do anything you want, but Ed Deline and his crack surveillance team will be watching. Just remember: what happens in Vegas stays in Vegas.",Josh Duhamel,James Caan,James Lesure,Vanessa Marcil
Steven Universe,(2013–2020),,"Animation, Short, Action",8.2,"A team of intergalactic warriors fights to protect the universe, but the combination of three highly trained beings and one quirky young boy leaves the team struggling to overcome the dangerous scenarios that are put in front of them.",Zach Callison,Deedee Magno,Michaela Dietz,Estelle
The Carrie Diaries,(2013–2014),,"Comedy, Romance",7,"Carrie Bradshaw is in her junior year of high school in the early 1980s. She asks her first questions about love, sex, friendship and family while navigating the worlds of high school and Manhattan.",AnnaSophia Robb,Austin Butler,Ellen Wong,Katie Findlay
Medium,(2005–2011),,"Crime, Drama, Fantasy",6.9,Suburban mom Allison DuBois attempts to balance family life with solving mysteries using her special gift. The dead send her visions of their deaths or other crimes while she sleeps.,Patricia Arquette,Miguel Sandoval,Jake Weber,Sofia Vassilieva
Kiseijû: Sei no kakuritsu,(2014–2015),,"Animation, Action, Horror",8.3,"17-year-old Shinichi Izumi is partially infected by a Parasyte; monsters that butcher and consume humans. He must learn to co-exist with the creature if he is to survive both the life of a Parasyte and human, as part monster, part person.",Adam Gibbs,Aya Hirano,Brittney Karbowski,Nobunaga Shimazaki
Superstore,(2015– ),,Comedy,7.8,A look at the lives of employees at a big box store.,Ben Feldman,Lauren Ash,Colton Dunn,Nico Santos
The Exorcist,(2016–2018),,"Drama, Horror, Mystery",8,Follows three priests dealing with cases of a demonic presence targeting a family and a foster home.,Alfonso Herrera,Ben Daniels,Kurt Egyiawan,Hannah Kasulka
The Event,(2010–2011),,"Crime, Drama, Mystery",7,"When a man goes looking for his missing girlfriend, he stumbles upon a government conspiracy that is bigger than the president himself.",Jason Ritter,Sarah Roemer,Ian Anthony Dale,Zeljko Ivanek
Harper's Island,-2009,,"Drama, Horror, Mystery",7.5,"Harper's Island was once the scene of a gruesome series of murders. Now, seven years later, family and friends gather on the island for a wedding, but one by one they begin to die.",Elaine Cassidy,Christopher Gorham,Matt Barr,Gina Holden
My Wife and Kids,(2001–2005),,"Comedy, Family",6.8,"Michael Kyle longs for a traditional life, but his day-trader wife Janet, gangsta rap-worshipping son Michael Jr., and brooding daughters Claire and Kady make his dream just that ... a dream.",Damon Wayans,Tisha Campbell-Martin,George Gore II,Parker McKenna Posey
Living with Yourself,(2019– ),18,"Comedy, Drama, Sci-Fi",7.2,"An existential comedy about a man struggling in life who undergoes a new treatment to become a better person, only to find that he's been replaced by a new and improved version of himself.",Paul Rudd,Aisling Bea,Desmin Borges,Karen Pittman
Baywatch,(1989–2001),13,"Action, Adventure, Crime",5.3,"At a Los Angeles beach, a team of lifeguards led by Lieutenant Mitch Buchannon save lives, deal with personal dramas, fight crime and participate in over the top adventures on a daily basis.",David Hasselhoff,Pamela Anderson,Yasmine Bleeth,Jeremy Jackson
The Deuce,(2017–2019),18,Drama,8.1,A look at life in New York City during the 1970s and '80s when porn and prostitution were rampant in Manhattan.,James Franco,Maggie Gyllenhaal,Lawrence Gilliard Jr.,Margarita Levieva
Rescue Me,(2004–2011),,"Comedy, Drama",8.3,Tommy Gavin deals with the fears of his job as a firefighter and seeing his ex-wife dating other men.,Denis Leary,Michael Lombardi,Steven Pasquale,Andrea Roth
Fuller House,(2016–2020),UA,"Comedy, Family",6.8,"In a continuation of Full House (1987), D.J. Fuller is a mother of three young boys and is a recent widow. D.J.'s sister Stephanie, her best friend Kimmy and Kimmy's teenage daughter all move in to help raise her sons. The house is now a lot fuller.",Candace Cameron Bure,Jodie Sweetin,Andrea Barber,Michael Campion
Family Matters,(1989–1998),,"Adventure, Comedy, Drama",6.6,"The Winslow family deal with various misadventures, many of them caused by their pesky next-door neighbor, ultra-nerd Steve Urkel.",Reginald VelJohnson,Jaleel White,Kellie Shanygne Williams,Darius McCrary
Nurse Jackie,(2009–2015),,"Comedy, Drama",7.7,A drug-addicted nurse struggles to find a balance between the demands of her frenetic job at a New York City hospital and an array of personal dramas.,Edie Falco,Merritt Wever,Paul Schulze,Dominic Fumusa
The Fosters,(2013–2018),,"Drama, Romance",7.9,"Teenager Callie Jacob is placed in a foster home with a lesbian couple and their blend of biological, adoptive, and foster children.",Teri Polo,Sherri Saum,Hayden Byerly,David Lambert
